{'': '1',
  'class': 'compact',
  'cty': '18',
  'cyl': '4',
  'displ': '1.8',
  'drv': 'f',
  'fl': 'p',
  'hwy': '29',
  'manufacturer': 'audi',
  'model': 'a4',
  'trans': 'auto(l5)',
  'year': '1999'},
 {'': '2',
  'class': 'compact',
  'cty': '21',
  'cyl': '4',
  'displ': '1.8',
  'drv': 'f',
  'fl': 'p',
  'hwy': '29',
  'manufacturer': 'audi',
  'model': 'a4',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '3',
  'class': 'compact',
  'cty': '20',
  'cyl': '4',
  'displ': '2',
  'drv': 'f',
  'fl': 'p',
  'hwy': '31',
  'manufacturer': 'audi',
  'model': 'a4',
  'trans': 'manual(m6)',
  'year': '2008'},
 {'': '4',
  'class': 'compact',
  'cty': '21',
  'cyl': '4',
  'displ': '2',
  'drv': 'f',
  'fl': 'p',
  'hwy': '30',
  'manufacturer': 'audi',
  'model': 'a4',
  'trans': 'auto(av)',
  'year': '2008'},
 {'': '5',
  'class': 'compact',
  'cty': '16',
  'cyl': '6',
  'displ': '2.8',
  'drv': 'f',
  'fl': 'p',
  'hwy': '26',
  'manufacturer': 'audi',
  'model': 'a4',
  'trans': 'auto(l5)',
  'year': '1999'},
 {'': '6',
  'class': 'compact',
  'cty': '18',
  'cyl': '6',
  'displ': '2.8',
  'drv': 'f',
  'fl': 'p',
  'hwy': '26',
  'manufacturer': 'audi',
  'model': 'a4',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '7',
  'class': 'compact',
  'cty': '18',
  'cyl': '6',
  'displ': '3.1',
  'drv': 'f',
  'fl': 'p',
  'hwy': '27',
  'manufacturer': 'audi',
  'model': 'a4',
  'trans': 'auto(av)',
  'year': '2008'},
 {'': '8',
  'class': 'compact',
  'cty': '18',
  'cyl': '4',
  'displ': '1.8',
  'drv': '4',
  'fl': 'p',
  'hwy': '26',
  'manufacturer': 'audi',
  'model': 'a4 quattro',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '9',
  'class': 'compact',
  'cty': '16',
  'cyl': '4',
  'displ': '1.8',
  'drv': '4',
  'fl': 'p',
  'hwy': '25',
  'manufacturer': 'audi',
  'model': 'a4 quattro',
  'trans': 'auto(l5)',
  'year': '1999'},
 {'': '10',
  'class': 'compact',
  'cty': '20',
  'cyl': '4',
  'displ': '2',
  'drv': '4',
  'fl': 'p',
  'hwy': '28',
  'manufacturer': 'audi',
  'model': 'a4 quattro',
  'trans': 'manual(m6)',
  'year': '2008'},
 {'': '11',
  'class': 'compact',
  'cty': '19',
  'cyl': '4',
  'displ': '2',
  'drv': '4',
  'fl': 'p',
  'hwy': '27',
  'manufacturer': 'audi',
  'model': 'a4 quattro',
  'trans': 'auto(s6)',
  'year': '2008'},
 {'': '12',
  'class': 'compact',
  'cty': '15',
  'cyl': '6',
  'displ': '2.8',
  'drv': '4',
  'fl': 'p',
  'hwy': '25',
  'manufacturer': 'audi',
  'model': 'a4 quattro',
  'trans': 'auto(l5)',
  'year': '1999'},
 {'': '13',
  'class': 'compact',
  'cty': '17',
  'cyl': '6',
  'displ': '2.8',
  'drv': '4',
  'fl': 'p',
  'hwy': '25',
  'manufacturer': 'audi',
  'model': 'a4 quattro',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '14',
  'class': 'compact',
  'cty': '17',
  'cyl': '6',
  'displ': '3.1',
  'drv': '4',
  'fl': 'p',
  'hwy': '25',
  'manufacturer': 'audi',
  'model': 'a4 quattro',
  'trans': 'auto(s6)',
  'year': '2008'},
 {'': '15',
  'class': 'compact',
  'cty': '15',
  'cyl': '6',
  'displ': '3.1',
  'drv': '4',
  'fl': 'p',
